dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1851-08-01,19.187,1.319,Belo Horizonte,Brazil,20.09S,44.36W
1851-09-01,20.052,1.529,Belo Horizonte,Brazil,20.09S,44.36W
1851-10-01,21.606,1.992,Belo Horizonte,Brazil,20.09S,44.36W
1851-11-01,21.415,1.34,Belo Horizonte,Brazil,20.09S,44.36W
1851-12-01,21.545,3.08,Belo Horizonte,Brazil,20.09S,44.36W
1852-01-01,22.532000000000000,2.47,Belo Horizonte,Brazil,20.09S,44.36W
1852-02-01,22.807,1.18,Belo Horizonte,Brazil,20.09S,44.36W
1852-03-01,22.881,3.14,Belo Horizonte,Brazil,20.09S,44.36W
1852-04-01,20.796,1.281,Belo Horizonte,Brazil,20.09S,44.36W
1852-05-01,19.65,1.126,Belo Horizonte,Brazil,20.09S,44.36W
1852-06-01,18.41,1.6570000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1852-07-01,18.4,1.479,Belo Horizonte,Brazil,20.09S,44.36W
1852-08-01,18.790000000000000,1.114,Belo Horizonte,Brazil,20.09S,44.36W
1852-09-01,20.482000000000000,1.208,Belo Horizonte,Brazil,20.09S,44.36W
1852-10-01,21.033,1.4240000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1852-11-01,22.166,2.752,Belo Horizonte,Brazil,20.09S,44.36W
1852-12-01,23.576,2.393,Belo Horizonte,Brazil,20.09S,44.36W
1853-01-01,22.815,1.555,Belo Horizonte,Brazil,20.09S,44.36W
1853-02-01,22.536000000000000,1.719,Belo Horizonte,Brazil,20.09S,44.36W
1853-03-01,21.568,1.646,Belo Horizonte,Brazil,20.09S,44.36W
1853-04-01,21.611,2.322,Belo Horizonte,Brazil,20.09S,44.36W
1853-05-01,19.074,0.999,Belo Horizonte,Brazil,20.09S,44.36W
1853-06-01,18.056000000000000,1.108,Belo Horizonte,Brazil,20.09S,44.36W
1853-07-01,18.682000000000000,1.225,Belo Horizonte,Brazil,20.09S,44.36W
1853-08-01,19.958,1.449,Belo Horizonte,Brazil,20.09S,44.36W
1853-09-01,21.52,1.821,Belo Horizonte,Brazil,20.09S,44.36W
1853-10-01,21.553,1.242,Belo Horizonte,Brazil,20.09S,44.36W
1853-11-01,22.564,2.902,Belo Horizonte,Brazil,20.09S,44.36W
1853-12-01,21.773000000000000,1.367,Belo Horizonte,Brazil,20.09S,44.36W
1854-01-01,21.748,1.735,Belo Horizonte,Brazil,20.09S,44.36W
1854-02-01,22.949,1.991,Belo Horizonte,Brazil,20.09S,44.36W
1854-03-01,21.981000000000000,1.558,Belo Horizonte,Brazil,20.09S,44.36W
1854-04-01,21.612,1.696,Belo Horizonte,Brazil,20.09S,44.36W
1854-05-01,19.456,1.028,Belo Horizonte,Brazil,20.09S,44.36W
1854-06-01,18.308,2.026,Belo Horizonte,Brazil,20.09S,44.36W
1854-07-01,18.686,1.439,Belo Horizonte,Brazil,20.09S,44.36W
1854-08-01,19.615,1.347,Belo Horizonte,Brazil,20.09S,44.36W
1854-09-01,21.309,1.761,Belo Horizonte,Brazil,20.09S,44.36W
1854-10-01,22.861,1.346,Belo Horizonte,Brazil,20.09S,44.36W
1854-11-01,22.035,1.283,Belo Horizonte,Brazil,20.09S,44.36W
1854-12-01,22.209000000000000,2.273,Belo Horizonte,Brazil,20.09S,44.36W
1855-01-01,23.39,2.002,Belo Horizonte,Brazil,20.09S,44.36W
1855-02-01,23.349,1.463,Belo Horizonte,Brazil,20.09S,44.36W
1855-03-01,23.25,1.514,Belo Horizonte,Brazil,20.09S,44.36W
1855-04-01,21.545,1.6470000000000000,Belo Horizonte,Brazil,20.09S,44.36W
1855-05-01,19.458,1.392,Belo Horizonte,Brazil,20.09S,44.36W
1855-06-01,18.836,2.557,Belo Horizonte,Brazil,20.09S,44.36W
1855-07-01,18.232,1.605,Belo Horizonte,Brazil,20.09S,44.36W
1855-08-01,19.84,1.547,Belo Horizonte,Brazil,20.09S,44.36W
1855-09-01,20.513,1.019,Belo Horizonte,Brazil,20.09S,44.36W
1855-10-01,21.92,2.194,Belo Horizonte,Brazil,20.09S,44.36W
1855-11-01,21.945,1.475,Belo Horizonte,Brazil,20.09S,44.36W
1855-12-01,20.959000000000000,2.068,Belo Horizonte,Brazil,20.09S,44.36W
1856-01-01,21.702,2.254,Belo Horizonte,Brazil,20.09S,44.36W
1856-02-01,21.865,1.609,Belo Horizonte,Brazil,20.09S,44.36W
1856-03-01,21.68,1.183,Belo Horizonte,Brazil,20.09S,44.36W
1856-04-01,21.363000000000000,1.283,Belo Horizonte,Brazil,20.09S,44.36W
1856-05-01,19.122,1.521,Belo Horizonte,Brazil,20.09S,44.36W
1856-06-01,17.552,2.073,Belo Horizonte,Brazil,20.09S,44.36W
1856-07-01,17.071000000000000,1.833,Belo Horizonte,Brazil,20.09S,44.36W
1856-08-01,18.772,1.35,Belo Horizonte,Brazil,20.09S,44.36W
1856-09-01,19.794,1.365,Belo Horizonte,Brazil,20.09S,44.36W
1856-10-01,20.32,1.358,Belo Horizonte,Brazil,20.09S,44.36W
1856-11-01,21.275,1.28,Belo Horizonte,Brazil,20.09S,44.36W
1856-12-01,21.117000000000000,2.169,Belo Horizonte,Brazil,20.09S,44.36W
1857-01-01,22.029,1.37,Belo Horizonte,Brazil,20.09S,44.36W
1857-02-01,22.584000000000000,1.6,Belo Horizonte,Brazil,20.09S,44.36W
1857-03-01,22.171,1.128,Belo Horizonte,Brazil,20.09S,44.36W
1857-04-01,19.513,1.208,Belo Horizonte,Brazil,20.09S,44.36W
1857-05-01,18.512,0.985,Belo Horizonte,Brazil,20.09S,44.36W
1857-06-01,17.686,0.945,Belo Horizonte,Brazil,20.09S,44.36W
1857-07-01,18.583,1.484,Belo Horizonte,Brazil,20.09S,44.36W
1857-08-01,18.878,1.0,Belo Horizonte,Brazil,20.09S,44.36W
1857-09-01,20.364,0.938,Belo Horizonte,Brazil,20.09S,44.36W
1857-10-01,21.721,1.968,Belo Horizonte,Brazil,20.09S,44.36W
1857-11-01,22.703000000000000,2.155,Belo Horizonte,Brazil,20.09S,44.36W
1857-12-01,22.708,1.615,Belo Horizonte,Brazil,20.09S,44.36W
