dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1813-11-01,27.034,1.4,Rangoon,Burma,16.87N,95.44E
1813-12-01,22.951,1.916,Rangoon,Burma,16.87N,95.44E
1814-01-01,22.302,2.729,Rangoon,Burma,16.87N,95.44E
1814-02-01,24.838,1.5590000000000000,Rangoon,Burma,16.87N,95.44E
1814-03-01,27.025,1.863,Rangoon,Burma,16.87N,95.44E
1814-04-01,28.718000000000000,1.481,Rangoon,Burma,16.87N,95.44E
1814-05-01,,,Rangoon,Burma,16.87N,95.44E
1814-06-01,27.351,1.5590000000000000,Rangoon,Burma,16.87N,95.44E
1814-07-01,24.646,2.27,Rangoon,Burma,16.87N,95.44E
1814-08-01,25.625,1.401,Rangoon,Burma,16.87N,95.44E
1814-09-01,25.62,1.347,Rangoon,Burma,16.87N,95.44E
1814-10-01,25.293000000000000,2.84,Rangoon,Burma,16.87N,95.44E
1814-11-01,26.886000000000000,4.026,Rangoon,Burma,16.87N,95.44E
1814-12-01,26.1,4.458,Rangoon,Burma,16.87N,95.44E
1815-01-01,23.035,2.071,Rangoon,Burma,16.87N,95.44E
1815-02-01,25.327,4.12,Rangoon,Burma,16.87N,95.44E
1815-03-01,27.039,2.906,Rangoon,Burma,16.87N,95.44E
1815-04-01,29.187,2.3080000000000000,Rangoon,Burma,16.87N,95.44E
1815-05-01,28.279,2.724,Rangoon,Burma,16.87N,95.44E
1815-06-01,25.112,1.69,Rangoon,Burma,16.87N,95.44E
1815-07-01,26.21,2.012,Rangoon,Burma,16.87N,95.44E
1815-08-01,25.952000000000000,1.564,Rangoon,Burma,16.87N,95.44E
1815-09-01,26.163,1.304,Rangoon,Burma,16.87N,95.44E
1815-10-01,24.939,2.475,Rangoon,Burma,16.87N,95.44E
1815-11-01,24.483,2.019,Rangoon,Burma,16.87N,95.44E
1815-12-01,22.37,2.103,Rangoon,Burma,16.87N,95.44E
1816-01-01,23.635,3.41,Rangoon,Burma,16.87N,95.44E
1816-02-01,22.356,2.03,Rangoon,Burma,16.87N,95.44E
